"ts","instrument_name","currency","expiration","strike","putcall","best_bid_amount","best_bid_price","mark_price","best_ask_price","best_ask_amount","is_atm","open_interest","delta","gamma","rho","theta","vega","bid_iv","mark_iv","ask_iv","underlying_price","index_price"
"2024-04-17 19:44:00","BTC-19APR24-92000-C","BTC","2024-04-19 08:00:00","92000","C",0,0,0,0.0001,2,FALSE,175.3,0,0,0,-0.00013,3e-05,0,124.24,222.35,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-92000-P","BTC","2024-04-19 08:00:00","92000","P",0,0,0.511,0,0,FALSE,0,-1,0,-3.80883,-0.00129,3e-05,0,124.24,0,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-90000-C","BTC","2024-04-19 08:00:00","90000","C",0,0,0,0.0001,3,FALSE,209.1,0,0,0,-0.00055,0.00012,0,124.12,211.78,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-90000-P","BTC","2024-04-19 08:00:00","90000","P",0,0,0.4782,0,0,FALSE,0,-1,0,-3.72603,-0.00495,0.00012,0,124.12,0,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-88000-C","BTC","2024-04-19 08:00:00","88000","C",0,0,0,0.0001,3,FALSE,136.6,0,0,1e-05,-0.00207,0.00041,0,123.59,200.91,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-88000-P","BTC","2024-04-19 08:00:00","88000","P",0,0,0.4453,0,0,FALSE,0,-1,0,-3.64322,-0.0169,0.00041,0,123.59,0,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-86000-C","BTC","2024-04-19 08:00:00","86000","C",0,0,0,0.0001,3,FALSE,85.2,1e-05,0,2e-05,-0.00679,0.00124,0,122.38,189.72,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-86000-P","BTC","2024-04-19 08:00:00","86000","P",0,0,0.4125,0,0,FALSE,0,-0.99999,0,-3.56041,-0.05025,0.00124,0,122.38,0,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-84000-C","BTC","2024-04-19 08:00:00","84000","C",0,0,0,0.0001,2.8,FALSE,142.4,2e-05,0,4e-05,-0.01663,0.00286,0,119.44,178.18,60886.77,60913.97
"2024-04-17 19:44:00","BTC-19APR24-84000-P","BTC","2024-04-19 08:00:00","84000","P",0,0,0.3796,0,0,FALSE,0,-0.99998,0,-3.47758,-0.11338,0.00287,0,119.44,0,60890.02,60912.76
"2024-04-17 19:44:00","BTC-19APR24-82000-C","BTC","2024-04-19 08:00:00","82000","C",0,0,0,0.0001,2,FALSE,215.4,3e-05,0,7e-05,-0.02843,0.00485,0,114.07,166.27,60886.77,60913.97
